variante,entrada_utc,dir,entry,stop_inicial,riesgo,exit,motivo,pnl,edad_al_tocar_velas,apilamiento,liquidez,tenia_fvg,rr_objetivo,rr_dinamico_disponible
A_control_edad12h3_fvg,2025-09-19 16:00:00,LONG,24806.0,24732.0,74.0,24820.8,BE,79.8,11,1,,True,4.0,False
A_control_edad12h3_fvg,2025-09-22 13:15:00,LONG,24814.75,24764.75,50.0,25014.75,TP,1191.0,1,2,,True,4.0,False
A_control_edad12h3_fvg,2025-09-23 12:15:00,SHORT,24995.25,25012.75,17.5,24991.75,BE,12.0,4,1,,True,4.0,False
A_control_edad12h3_fvg,2025-09-23 13:30:00,SHORT,24954.5,25011.75,57.25,24943.05,BE,59.7,8,1,,True,4.0,False
A_control_edad12h3_fvg,2025-09-24 13:00:00,SHORT,24874.5,24898.5,24.0,24898.5,STOP,-153.0,1,1,,True,4.0,False
A_control_edad12h3_fvg,2025-09-25 15:15:00,SHORT,24598.75,24657.75,59.0,24657.75,STOP,-363.0,7,0,,True,4.0,False
A_control_edad12h3_fvg,2025-09-26 14:30:00,LONG,24626.75,24537.0,89.75,24644.7,BE,98.7,8,1,,True,4.0,False
A_control_edad12h3_fvg,2025-09-29 13:15:00,SHORT,24851.25,24899.5,48.25,24899.5,STOP,-298.5,10,0,,True,4.0,False
A_control_edad12h3_fvg,2025-09-30 14:45:00,LONG,24842.75,24786.5,56.25,24786.5,STOP,-346.5,2,1,,True,4.0,False
A_control_edad12h3_fvg,2025-09-30 16:45:00,SHORT,24783.5,24843.75,60.25,24771.45,BE,63.3,7,0,,True,4.0,False
A_control_edad12h3_fvg,2025-10-01 13:00:00,LONG,24787.0,24719.0,68.0,24800.6,BE,72.6,5,1,,True,4.0,False
A_control_edad12h3_fvg,2025-10-06 16:00:00,SHORT,25186.5,25220.0,33.5,25220.0,STOP,-210.0,2,0,,True,4.0,False
A_control_edad12h3_fvg,2025-10-07 12:15:00,LONG,25213.25,25177.5,35.75,25220.4,BE,33.9,1,0,,True,4.0,False
A_control_edad12h3_fvg,2025-10-08 13:30:00,LONG,25132.75,25056.5,76.25,25148.0,BE,82.5,5,3,,True,4.0,False
A_control_edad12h3_fvg,2025-10-13 12:45:00,SHORT,24786.75,24858.0,71.25,24858.0,STOP,-436.5,5,1,,True,4.0,False
A_control_edad12h3_fvg,2025-10-13 14:15:00,SHORT,24824.5,24906.5,82.0,24808.1,BE,89.4,10,1,,True,4.0,False
A_control_edad12h3_fvg,2025-10-16 12:30:00,LONG,25095.0,25003.75,91.25,25113.25,BE,100.5,9,1,,True,4.0,False
A_control_edad12h3_fvg,2025-10-22 13:15:00,SHORT,25265.25,25307.0,41.75,25256.9,BE,41.1,8,2,,True,4.0,False
A_control_edad12h3_fvg,2025-10-28 12:45:00,LONG,26012.5,25988.5,24.0,26017.3,BE,19.8,1,1,,True,4.0,False
A_control_edad12h3_fvg,2025-10-28 15:45:00,LONG,26060.5,25988.5,72.0,26074.9,BE,77.4,11,1,,True,4.0,False
A_control_edad12h3_fvg,2025-10-31 12:15:00,LONG,26262.75,26190.25,72.5,26190.25,STOP,-444.0,1,0,,True,4.0,False
A_control_edad12h3_fvg,2025-11-11 15:00:00,SHORT,25571.75,25639.25,67.5,25558.25,BE,72.0,3,0,,True,4.0,False
A_control_edad12h3_fvg,2025-11-11 17:30:00,LONG,25584.25,25501.5,82.75,25600.8,BE,90.3,1,0,,True,4.0,False
