fecha_entrada_NY,hora_entrada_NY,direccion,precio_entrada,SL,TP1_ref,TP2,fecha_salida_NY,hora_salida_NY,razon_salida,pnl_4_contratos
2026-09-02,04:50,SHORT,29020.25,29075.25,28921.25,28855.25,2026-09-02,05:00,BE_LOCK,214.24
2026-09-02,05:05,SHORT,29020.25,29075.25,28921.25,28855.25,2026-09-02,05:15,BE_LOCK,214.24
2026-09-02,05:50,SHORT,28966.00,29017.25,28873.75,28812.25,2026-09-02,07:05,BE_LOCK,199.24
2026-09-02,08:05,LONG,29086.75,29061.00,29133.10,29164.00,2026-09-02,08:15,BE_LOCK,97.24
2026-09-02,08:30,LONG,29086.75,29061.00,29133.10,29164.00,2026-09-02,08:45,FULL_LOSS,-211.76
2026-09-02,08:50,LONG,29044.00,29022.50,29082.70,29108.50,2026-09-02,09:05,BE_LOCK,80.24
2026-09-02,10:05,LONG,29081.50,29024.50,29184.10,29252.50,2026-09-02,11:00,TP1_BE,222.24
2026-09-03,03:25,LONG,29183.00,29165.00,29215.40,29237.00,2026-09-03,03:40,TP1_TP2,426.24
2026-09-03,03:50,LONG,29183.00,29165.00,29215.40,29237.00,2026-09-03,04:00,TP1_TP2,426.24
2026-09-03,04:20,LONG,29232.00,29209.00,29273.40,29301.00,2026-09-03,04:30,BE_LOCK,86.24
2026-09-03,04:35,LONG,29232.00,29209.00,29273.40,29301.00,2026-09-03,05:15,FULL_LOSS,-189.76
2026-09-03,05:20,SHORT,29213.50,29246.25,29154.55,29115.25,2026-09-03,05:30,BE_LOCK,125.24
2026-09-03,10:00,LONG,29252.00,29202.25,29341.55,29401.25,2026-09-03,10:10,BE_LOCK,193.24
2026-09-04,03:35,LONG,29630.75,29613.00,29662.70,29684.00,2026-09-04,04:00,BE_LOCK,65.24
2026-09-04,05:10,LONG,29630.75,29613.00,29662.70,29684.00,2026-09-04,05:20,BE_LOCK,65.24
2026-09-04,06:30,LONG,29672.75,29643.00,29726.30,29762.00,2026-09-04,06:50,BE_LOCK,113.24
2026-09-04,07:00,LONG,29664.75,29643.00,29703.90,29730.00,2026-09-04,08:00,BE_LOCK,81.24
2026-09-04,08:20,SHORT,29668.00,29685.25,29636.95,29616.25,2026-09-04,08:25,FULL_LOSS,-143.76
2026-09-04,08:50,SHORT,29544.25,29556.75,29521.75,29506.75,2026-09-04,09:00,TP1_BE,44.24
2026-09-04,09:20,LONG,29565.75,29501.50,29681.40,29758.50,2026-09-04,09:40,BE_LOCK,251.24
2026-09-04,09:55,LONG,29653.00,29596.25,29755.15,29823.25,2026-09-04,10:05,BE_LOCK,221.24
2026-09-04,10:40,SHORT,29586.00,29655.00,29461.80,29379.00,2026-09-04,12:10,BE_LOCK,270.24
2026-09-07,03:05,LONG,29672.50,29647.50,29717.50,29747.50,2026-09-07,03:25,FULL_LOSS,-205.76
2026-09-07,03:55,LONG,29650.00,29616.50,29710.30,29750.50,2026-09-07,05:20,FULL_LOSS,-273.76
2026-09-07,10:25,SHORT,29607.00,29632.75,29560.65,29529.75,2026-09-07,10:40,FULL_LOSS,-211.76
2026-09-08,03:00,SHORT,29605.75,29621.25,29577.85,29559.25,2026-09-08,03:05,FULL_LOSS,-129.76
2026-09-08,03:35,SHORT,29588.00,29626.25,29519.15,29473.25,2026-09-08,05:35,TP1_BE,147.24
2026-09-08,05:40,SHORT,29586.00,29615.50,29532.90,29497.50,2026-09-08,05:50,BE_LOCK,112.24
2026-09-08,05:55,SHORT,29596.00,29626.25,29541.55,29505.25,2026-09-08,06:15,BE_LOCK,115.24
2026-09-08,06:20,SHORT,29645.00,29686.00,29571.20,29522.00,2026-09-08,08:30,TP1_BE,158.24
2026-09-08,09:20,SHORT,29667.75,29716.50,29580.00,29521.50,2026-09-08,09:30,BE_LOCK,189.24
2026-09-08,10:15,SHORT,29489.00,29539.25,29398.55,29338.25,2026-09-08,10:40,FULL_LOSS,-407.76
2026-09-08,10:55,SHORT,29562.75,29590.00,29513.70,29481.00,2026-09-08,11:10,BE_LOCK,103.24
2026-09-09,03:05,LONG,29594.50,29577.00,29626.00,29647.00,2026-09-09,03:10,FULL_LOSS,-145.76
2026-09-09,03:45,LONG,29581.00,29557.00,29624.20,29653.00,2026-09-09,04:05,BE_LOCK,90.24
2026-09-09,04:50,SHORT,29566.00,29595.25,29513.35,29478.25,2026-09-09,05:10,BE_LOCK,111.24
2026-09-09,05:20,SHORT,29537.75,29569.75,29480.15,29441.75,2026-09-09,05:30,BE_LOCK,122.24
2026-09-09,05:40,SHORT,29492.75,29550.00,29389.70,29321.00,2026-09-09,05:50,BE_LOCK,223.24
2026-09-09,08:10,SHORT,29364.00,29417.25,29268.15,29204.25,2026-09-09,09:20,FULL_LOSS,-431.76
2026-09-09,09:55,LONG,29514.50,29461.00,29610.80,29675.00,2026-09-09,10:10,BE_LOCK,208.24
2026-09-09,10:15,LONG,29506.50,29461.00,29588.40,29643.00,2026-09-09,10:20,FULL_LOSS,-369.76
2026-09-09,10:50,LONG,29508.50,29459.75,29596.25,29654.75,2026-09-09,11:00,BE_LOCK,189.24
2026-09-10,03:00,LONG,29460.75,29439.50,29499.00,29524.50,2026-09-10,03:15,BE_LOCK,79.24
2026-09-10,03:50,LONG,29446.75,29420.25,29494.45,29526.25,2026-09-10,04:40,FULL_LOSS,-217.76
2026-09-10,04:45,SHORT,29419.25,29449.00,29365.70,29330.00,2026-09-10,05:45,TP1_BE,113.24
2026-09-10,07:30,SHORT,29355.75,29424.50,29232.00,29149.50,2026-09-10,08:30,TP1_TP2,1644.24
2026-09-10,09:55,SHORT,29123.50,29204.25,28978.15,28881.25,2026-09-10,10:20,FULL_LOSS,-651.76
